stockRef,shape,color,clarity,lab,certiNo,treatment,weight,pricePerCts,discPerc,country,measurements,depthPerc,tablePerc,crownAngle,crownHeight,pavalionAngle,pavalionDepth,girdle,girdleThin,girdlePerc,girdleCondition,culetSize,culetCondition,polish,symmetry,fluorescenceIntensity,fluorescenceColor,fancyColor,fancyIntensity,fancyOvertone,pairStockRef,isMatchedPairSeparable,cutGrade,length,width,height,videoLink,certComment,keyToSymbols,certIssueDate,starLength,webLink,laserInscription,shade,Rap Price,lowerHalf,memberComment,blackcrown,blacktable,eyeclean,whitecrown,whitetable,handa,availability,cashDiscPrice,milky,enhancements,city,origin,cashDiscPerc,blackinclusion,identificationMarks,state,forTradeShow,CertiWebLink,LastCustomer,StoneLocation,CostPerCts,NotForWeb,T2A,Ratio,DeptCode,Stock Status
B238F2-107A,CB,E,VS1,GIA,7496750704,,0.83000,1820.00000,-48.00000,HONG KONG,5.89x5.57x3.56,63.80,60.00,0.00,0.00,0.00,0.00,STK to VTK,,0.00,Faceted,None,None,EX,EX,Faint,,,,,,,,5.89,5.57,3.56,,,Crystal,09/07/2024 12:00:00 AM,0.00,,Y,,3500.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=7496750704,,HONG KONG,4000.00000,False,,1.057,ENT,A
JBPD464B,RAD,UV,VVS1,GIA,5234272400,,0.83000,990.00000,-41.76471,HONG KONG,6.93x4.40x2.96,67.30,72.00,0.00,0.00,0.00,0.00,VTK,,0.00,Polished,None,None,EX,VG,None,,,,,,,,6.93,4.40,2.96,,,Feather,15/05/2024 12:00:00 AM,0.00,,Y,,1700.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=5234272400,,HONG KONG,1600.00000,False,,1.575,ENT,A
B238F2-69A,CB,G,VS2,GIA,6492750474,,0.84000,1624.00000,-42.00000,HONG KONG,5.85x5.82x3.44,59.10,57.00,0.00,0.00,0.00,0.00,MED to THK,Medium,0.00,Faceted,None,None,EX,EX,None,,,,,,,,5.85,5.82,3.44,,,"Cloud, Feather, Crystal",27/06/2024 12:00:00 AM,0.00,,Y,,2800.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=6492750474,,HONG KONG,3000.00000,False,,1.005,ENT,A
B238F2-112A,CB,G,VVS2,GIA,2497750520,,0.86000,1749.00000,-47.00000,HONG KONG,5.82-5.75*3.47,60.40,62.00,0.00,0.00,0.00,0.00,STK to VTK,,0.00,Faceted,None,None,EX,EX,None,,,,,,,,5.82,5.75,3.47,,,"Cloud, Pinpoint, Feather",27/06/2024 12:00:00 AM,0.00,,Y,,3300.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2497750520,,HONG KONG,3700.00000,False,,1.012,ENT,A
B238F2-61A,CB,H,VVS1,GIA,2496750341,,0.90000,2610.00000,-42.00000,HONG KONG,5.82-5.80*3.59,61.80,64.00,0.00,0.00,0.00,0.00,STK to VTK,,0.00,Faceted,None,None,EX,EX,None,,,,,,,,5.82,5.80,3.59,http://image.simgems.com/images/B238F2-61A,,Feather,27/06/2024 12:00:00 AM,0.00,B238F2-61A,Y,,4500.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2496750341,,HONG KONG,4700.00000,False,,1.003,ENT,A
B238F2-96A,CB,H,VS1,GIA,1493750685,,0.90000,2223.00000,-43.00000,HONG KONG,5.88-5.83*3.60,61.80,63.00,0.00,0.00,0.00,0.00,VTK,,0.00,Faceted,None,None,EX,EX,None,,,,,,,,5.88,5.83,3.60,http://image.simgems.com/images/B238F2-96A,,"Crystal, Pinpoint, Needle",27/06/2024 12:00:00 AM,0.00,B238F2-96A,Y,,3900.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=1493750685,,HONG KONG,4000.00000,False,,1.009,ENT,A
PD02,PSM,L,VS2,GIA,1236331694,,0.90000,855.00000,-55.00000,HONG KONG,7.91-4.97*3.24,65.10,69.00,0.00,0.00,0.00,0.00,ETK,,0.00,Faceted,None,None,EX,VG,Faint,,,,,,,,7.91,4.97,3.24,,,"Feather, Extra Facet",28/06/2024 12:00:00 AM,0.00,,Y,,1900.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=1236331694,A.A. Rachminov Diamonds (Asia) Ltd.,HONG KONG,1800.00000,False,,1.592,ENT,M
B424CZ4-62A,RD,E,VS1,GIA,6492744819,,0.91000,3059.10000,-44.38000,HONG KONG,6.18-6.14*3.85,62.40,59.00,35.50,14.50,41.20,43.50,MED to THK,Medium,4.00,Faceted,None,None,EX,EX,None,,,,,,,EX,6.18,6.14,3.85,http://image.simgems.com/images/B424CZ4-62A,,"Crystal, Cloud, Pinpoint",27/06/2024 12:00:00 AM,50.00,B424CZ4-62A,Y,,5500.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=6492744819,,HONG KONG,6100.00000,False,,1.007,ENT,A
D236MB1-61A,HTB,H,VVS2,GIA,2494750224,,0.91000,1890.00000,-55.00000,HONG KONG,5.87x6.73x3.94,58.50,53.00,0.00,0.00,0.00,0.00,STK,,0.00,Faceted,None,None,EX,EX,None,,,,,,,,5.87,6.73,3.94,http://image.simgems.com/images/D236MB1-61A,,Pinpoint,09/07/2024 12:00:00 AM,0.00,D236MB1-61A,Y,,4200.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2494750224,,HONG KONG,5000.00000,False,,0.872,ENT,A
D236MB2-73A,RAD,I,VS1,GIA,1495757751,,0.91000,1360.00000,-60.00000,HONG KONG,6.23x4.89x3.31,67.60,65.00,0.00,0.00,0.00,0.00,THK,,0.00,Polished,None,None,EX,EX,None,,,,,,,,6.23,4.89,3.31,http://image.simgems.com/images/D236MB2-73A,,"Crystal, Feather, Cloud, Pinpoint",09/07/2024 12:00:00 AM,0.00,D236MB2-73A,Y,,3400.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=1495757751,,HONG KONG,4000.00000,False,,1.274,ENT,A
B238F2-44A,CB,H,VS2,GIA,6492757866,,0.95000,2100.00000,-40.00000,HONG KONG,6.05x5.89x3.67,62.30,62.00,0.00,0.00,0.00,0.00,STK,,0.00,Faceted,None,None,EX,EX,None,,,,,,,,6.05,5.89,3.67,http://image.simgems.com/images/B238F2-44A,,"Crystal, Cloud",09/07/2024 12:00:00 AM,0.00,B238F2-44A,Y,,3500.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=6492757866,,HONG KONG,3000.00000,False,,1.027,ENT,A
B424CZ4-44A,RD,E,VS1,GIA,5496660036,,1.01000,4495.83750,-43.09066,HONG KONG,6.36-6.40x3.97,62.30,59.00,36.00,15.00,41.00,43.50,MED to THK,Medium,4.00,Faceted,None,None,EX,EX,None,,,,,,,EX,6.40,6.36,3.97,http://image.simgems.com/images/B424CZ4-44A,Clouds are not shown. Pinpoints are not shown.,"Crystal, Needle",24/06/2024 12:00:00 AM,50.00,B424CZ4-44A,Y,None,7900.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT1,EC0,WC0,WT1,,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=5496660036,SIM GEMS USA INC,USA,11400.00000,False,,1.006,ENT,M
B424CZ4-77A,CMB,D,VVS2,GIA,7491849095,,1.01000,3181.14720,-58.14280,HONG KONG,5.62x5.51x3.78,68.60,65.00,0.00,0.00,0.00,0.00,VTK,,0.00,Faceted,None,None,EX,EX,None,,,,,,,,5.62,5.51,3.78,http://image.simgems.com/images/B424CZ4-77A,,Pinpoint,09/07/2024 12:00:00 AM,0.00,B424CZ4-77A,Y,None,7600.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT0,EC0,WC1,WT0,NA,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7491849095,,HONG KONG,10000.00000,False,Not Available,1.020,ENT,A
B424CZ4-204,CMB,F,VVS2,GIA,1498849060,,1.01000,2752.35840,-56.99440,HONG KONG,5.67x5.56x3.79,68.20,59.00,0.00,0.00,0.00,0.00,VTK,,0.00,Faceted,None,None,EX,EX,None,,,,,,,,5.67,5.56,3.79,http://image.simgems.com/images/B424CZ4-204,,Needle,09/07/2024 12:00:00 AM,0.00,B424CZ4-204,Y,None,6400.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT2,EC0,WC0,WT0,NA,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1498849060,ATLANTIS GEMS,THAILAND,8300.00000,False,Not Available,1.020,ENT,M
VISA244-14B,OVB,I,VVS2,GIA,2497673904,,1.01000,2590.84980,-38.31310,HONG KONG,8.30x5.64x3.27,57.90,61.00,0.00,0.00,0.00,0.00,STK to ETK,Medium,0.00,Faceted,None,None,EX,EX,Faint,,,,,,,,8.30,5.64,3.27,http://image.simgems.com/images/VISA244-14B,Additional pinpoints are not shown.,"Needle, Pinpoint",17/06/2024 12:00:00 AM,0.00,VISA244-14B,Y,,4200.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2497673904,ZEAL ZEST,HONG KONG,4300.00000,False,,1.472,ENT,M
SRVD118C,PSM,ST,VS2,GIA,6234331588,,1.01000,940.50000,-50.50000,HONG KONG,8.93x5.11x3.07,60.20,66.00,0.00,0.00,0.00,0.00,VTK,,0.00,Faceted,None,None,EX,VG,None,,,,,,,,8.93,5.11,3.07,http://image.simgems.com/images/SRVD118C,,Feather,28/06/2024 12:00:00 AM,0.00,SRVD118C,Y,,1900.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT0,EC0,WC1,WT0,NA,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6234331588,,HONG KONG,2100.00000,False,,1.748,ENT,A
B424CZ4-39A,RD,E,VS1,GIA,7491660043,,1.02000,4495.83750,-43.09066,HONG KONG,6.39-6.42x4.01,62.50,59.00,35.00,14.50,41.40,44.00,STK,,4.00,Faceted,None,None,EX,EX,None,,,,,,,EX,6.42,6.39,4.01,http://image.simgems.com/images/B424CZ4-39A,,"Crystal, Feather, Cloud, Needle",17/06/2024 12:00:00 AM,50.00,B424CZ4-39A,Y,,7900.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=7491660043,SIM GEMS USA INC,USA,7000.00000,False,,1.005,ENT,M
B424CZ4-131A,CMB,E,VVS2,GIA,1499849122,,1.02000,2892.92850,-58.07350,HONG KONG,5.74x5.57x3.76,67.50,58.00,0.00,0.00,0.00,0.00,STK to VTK,,0.00,Faceted,None,None,EX,EX,None,,,,,,,,5.74,5.57,3.76,http://image.simgems.com/images/B424CZ4-131A,,Cloud,09/07/2024 12:00:00 AM,0.00,B424CZ4-131A,Y,None,6900.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT0,EC0,WC0,WT1,NA,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1499849122,SIM GEMS USA INC,USA,7700.00000,False,Not Available,1.031,ENT,M
SADC01P,PSM,ST,VVS1,GIA,2235346367,,1.05000,1138.50000,-50.50000,HONG KONG,10.51x6.03x2.04,33.90,69.00,0.00,0.00,0.00,0.00,ETK,,0.00,Faceted,None,None,VG,VG,None,,,,,,,,10.51,6.03,2.04,http://image.simgems.com/images/SADC01P,,Feather,23/07/2024 12:00:00 AM,0.00,SADC01P,Y,Light Brown,2300.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT0,EC0,WC1,WT0,NA,A,,Brown,,,,,,,,,https://www.gia.edu/report-check?reportno=2235346367,,HONG KONG,2700.00000,False,,1.743,ENT,A
B424CZ4-46A,RD,E,VS1,GIA,2496660069,,1.05000,4377.33450,-44.59070,HONG KONG,6.42-6.46x4.04,62.70,59.00,36.00,15.00,41.00,43.50,STK,,4.00,Faceted,None,None,EX,EX,None,,,,,,,EX,6.46,6.42,4.04,http://image.simgems.com/images/B424CZ4-46A,"Additional clouds, additional pinpoints and surface graining are not shown.","Cloud, Pinpoint, Indented Natural",17/06/2024 12:00:00 AM,50.00,B424CZ4-46A,Y,None,7900.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT0,EC0,WC1,WT1,VG,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2496660069,SIM GEMS USA INC,USA,8200.00000,False,,1.006,ENT,M
B424CZ4-81A,RD,E,VS1,GIA,6492673891,,1.05000,3571.58339,-54.79008,HONG KONG,6.30-6.35x4.06,64.20,58.00,38.00,16.50,40.20,42.50,THK,,5.50,Faceted,None,None,EX,EX,None,,,,,,,VG,6.35,6.30,4.06,http://image.simgems.com/images/B424CZ4-81A,Additional clouds are not shown. Pinpoints are not shown.,Cloud,24/06/2024 12:00:00 AM,50.00,B424CZ4-81A,Y,None,7900.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT0,EC0,WC0,WT2,NO,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6492673891,,HONG KONG,9300.00000,False,,1.008,ENT,A
B424F5-34B,RD,H,SI1,GIA,3495824087,,1.05000,2077.02000,-52.79500,HONG KONG,6.64-6.66x3.94,59.20,59.00,32.00,13.00,41.00,43.50,MED,Medium,3.00,Faceted,None,None,EX,EX,Faint,,,,,,,EX,6.66,6.64,3.94,http://image.simgems.com/images/B424F5-34B,"Additional clouds, pinpoints, internal graining and surface graining are not shown.","Cloud, Crystal, Needle",08/07/2024 12:00:00 AM,50.00,B424F5-34B,Y,None,4400.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT1,EC0,WC1,WT2,NO,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=3495824087,SIM GEMS USA INC,USA,4500.00000,False,,1.003,ENT,M
B424CZ4-79A,CMB,E,VS2,GIA,5493887570,,1.32000,2709.88740,-49.81690,HONG KONG,6.13x6.10x4.15,68.10,59.00,0.00,0.00,0.00,0.00,VTK,,0.00,Faceted,None,None,EX,EX,Faint,,,,,,,,6.13,6.10,4.15,http://image.simgems.com/images/B424CZ4-79A,,"Crystal, Cloud, Natural",11/07/2024 12:00:00 AM,0.00,B424CZ4-79A,Y,None,5400.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT0,EC0,WC1,WT2,NA,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=5493887570,STAR DIAMONDS,HONG KONG,6200.00000,False,,1.005,ENT,M
SBPD24-04B,EM,I,VVS2,GIA,6492849138,,1.50000,3135.60720,-56.44990,HONG KONG,8.33x5.46x3.55,64.90,66.00,0.00,0.00,0.00,0.00,STK,,0.00,Polished,None,None,EX,EX,None,,,,,,,,8.33,5.46,3.55,http://image.simgems.com/images/SBPD24-04B,,"Pinpoint, Cloud",09/07/2024 12:00:00 AM,0.00,SBPD24-04B,Y,None,7200.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT0,EC0,WC1,WT1,NA,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6492849138,SIM GEMS USA INC,USA,8200.00000,False,,1.526,ENT,M
B424CZ4-14A,CMB,D,VS1,GIA,6492821887,,2.01000,6063.75000,-65.35000,HONG KONG,7.04x6.93x4.77,68.90,65.00,0.00,0.00,0.00,0.00,VTK,,0.00,Faceted,None,None,EX,EX,Strong,Blue,,,,,,,7.04,6.93,4.77,http://image.simgems.com/images/B424CZ4-14A,,"Feather, Pinpoint",08/07/2024 12:00:00 AM,0.00,B424CZ4-14A,Y,None,17500.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT0,EC0,WC2,WT1,NA,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=6492821887,SIM GEMS USA INC,USA,21000.00000,False,,1.016,ENT,M
B424F5-46A,CB,G,VVS2,GIA,2497883236,,2.01000,8167.50000,-45.55000,HONG KONG,8.20x7.18x4.70,65.50,70.00,0.00,0.00,0.00,0.00,STK to VTK,,0.00,Faceted,None,None,EX,VG,None,,,,,,,,8.20,7.18,4.70,http://image.simgems.com/images/B424F5-46A,"Additional clouds, pinpoints and surface graining are not shown.","Cloud, Needle",11/07/2024 12:00:00 AM,0.00,B424F5-46A,Y,None,15000.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC1,BT0,EC0,WC1,WT2,NA,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2497883236,R2NET INC,USA,14000.00000,False,,1.142,ENT,M
B424F5-37A,RD,J,IF,GIA,1493848573,,2.03000,6177.89700,-43.32205,HONG KONG,8.02-8.06x5.03,62.50,59.00,35.50,14.50,41.20,43.50,STK,,4.00,Faceted,None,None,EX,EX,None,,,,,,,EX,8.06,8.02,5.03,http://image.simgems.com/images/B424F5-37A,Minor details of polish are not shown.,,09/07/2024 12:00:00 AM,50.00,B424F5-37A,Y,None,10900.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT0,EC0,WC0,WT0,VG,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1493848573,,HONG KONG,10000.00000,False,,1.005,ENT,A
B424F5-10A,RD,G,VVS2,GIA,7498848513,,3.01000,13543.99200,-51.62860,HONG KONG,9.16-9.22x5.71,62.10,59.00,35.50,14.50,41.00,43.50,MED to THK,Medium,4.00,Faceted,None,None,EX,EX,Faint,,,,,,,EX,9.22,9.16,5.71,http://image.simgems.com/images/B424F5-10A,Additional pinpoints are not shown.,"Cloud, Pinpoint",09/07/2024 12:00:00 AM,50.00,B424F5-10A,Y,None,28000.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC0,BT0,EC0,WC1,WT1,EX,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=7498848513,SIM GEMS USA INC,USA,22500.00000,False,,1.007,ENT,M
NS45-05A,RAD,L,VS1,GIA,2497746055,,3.02000,3641.96250,-51.44050,HONG KONG,9.34x7.78x4.77,61.30,59.00,0.00,0.00,0.00,0.00,STK,,0.00,Polished,None,None,EX,EX,Faint,,,,,,,,9.34,7.78,4.77,http://image.simgems.com/images/NS45-05A,,"Crystal, Pinpoint",11/07/2024 12:00:00 AM,0.00,NS45-05A,Y,None,7500.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC1,BT0,EC0,WC1,WT0,NA,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2497746055,,HONG KONG,11400.00000,False,,1.201,ENT,A
SADC01H,PSB,F BR Y,IF,GIA,2235246450,,7.26000,6930.00000,0.00000,HONG KONG,17.75x10.90x6.23,57.10,64.00,0.00,0.00,0.00,0.00,MED to VTK,Medium,0.00,Faceted,None,None,EX,EX,None,,Yellow,Fancy,Brown,,,,17.75,10.90,6.23,http://image.simgems.com/images/SADC01H,Minor details of polish are not shown.,,25/04/2024 12:00:00 AM,0.00,SADC01H,Y,None,0.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC0,BT0,EC0,WC0,WT0,NA,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2235246450,,HONG KONG,0.00000,False,,1.628,ENT,A
SADC01P-1,PSM,UV,IF,GIA,2235346364,,1.03000,1237.50000,-50.50000,HONG KONG,10.13x5.68x2.00,35.30,70.00,0.00,0.00,0.00,0.00,VTK,,0.00,Faceted,None,None,EX,VG,None,,,,,,,,10.13,5.68,2.00,http://image.simgems.com/images/SADC01P-1,Minor details of polish are not shown.,,23/07/2024 12:00:00 AM,0.00,SADC01P-1,Y,Light Brown,2500.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT0,EC0,WC0,WT0,NA,A,,Light Brown,,,,,,,,,https://www.gia.edu/report-check?reportno=2235346364,,HONG KONG,2500.00000,False,,1.783,,A
UCL573B,PSM,L,VVS1,GIA,2235310997,,1.23000,1524.60000,-43.53333,HONG KONG,9.50x5.90x3.33,56.40,61.00,0.00,0.00,0.00,0.00,ETK,,0.00,Faceted,None,None,VG,VG,Faint,,,,,,,,9.50,5.90,3.33,http://image.simgems.com/images/UCL573B,,"Chip, Extra Facet",10/06/2024 12:00:00 AM,0.00,UCL573B,Y,None,2700.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT0,EC0,WC1,WT0,NA,A,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=2235310997,,HONG KONG,3000.00000,False,,1.610,,A
JD236MB1-3A,OVB,H,VVS1,GIA,7492897318,,0.70000,1600.00000,-50.00000,HONG KONG,6.97x4.84x3.01,62.30,61.00,0.00,0.00,0.00,0.00,STK,,0.00,Faceted,None,None,EX,EX,None,,,,,,,,6.97,4.84,3.01,,,"Needle, Surface Graining",23/07/2024 12:00:00 AM,0.00,,Y,,3200.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=7492897318,,HONG KONG,3800.00000,False,,1.440,,A
SGMAR5F,PSB,K,IF,GIA,6492899041,,0.42000,868.00000,-38.00000,HONG KONG,6.69x4.28x2.51,58.60,67.00,0.00,0.00,0.00,0.00,MED to VTK,Medium,0.00,Faceted,None,None,EX,EX,None,,,,,,,,6.69,4.28,2.51,,,Minor Details Of Polish,23/07/2024 12:00:00 AM,0.00,,Y,,1400.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=6492899041,,HONG KONG,1500.00000,False,,1.563,,A
JD236MB2-21A,RAD,I,IF,GIA,1498758798,,1.08000,2329.29180,-50.44060,HONG KONG,6.64x5.29x3.51,66.40,65.00,0.00,0.00,0.00,0.00,MED to THK,Medium,0.00,Polished,None,None,EX,EX,None,,,,,,,,6.64,5.29,3.51,http://image.simgems.com/images/JD236MB2-21A,Minor details of polish are not shown.,,23/07/2024 12:00:00 AM,0.00,JD236MB2-21A,Y,None,4700.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,BC0,BT0,EC0,WC0,WT0,NA,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=1498758798,SIM GEMS USA INC,USA,5300.00000,False,,1.255,,M
JD236MB1-15A,CB,H,VVS2,GIA,1495771229,,0.81000,1500.00000,-50.00000,HONG KONG,6.34x5.11x3.41,66.70,62.00,0.00,0.00,0.00,0.00,MED to VTK,Medium,0.00,Faceted,None,None,EX,EX,None,,,,,,,,6.34,5.11,3.41,,,"Cloud, Needle",25/07/2024 12:00:00 AM,0.00,,Y,,3000.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=1495771229,,HONG KONG,3600.00000,False,,1.241,,A
JD236MB1-9B,EM,H,VS1,GIA,2494900860,,0.52000,960.00000,-52.00000,HONG KONG,5.78x3.91x2.51,64.20,68.00,0.00,0.00,0.00,0.00,THK,,0.00,Polished,None,None,EX,EX,None,,,,,,,,5.78,3.91,2.51,,,"Cloud, Needle",25/07/2024 12:00:00 AM,0.00,,Y,,2000.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2494900860,,HONG KONG,2300.00000,False,,1.478,,A
UCLR7P,PSB,I,VVS2,GIA,2497832849,,0.70000,1539.00000,-43.00000,HONG KONG,7.90x4.86x2.92,60.10,65.00,0.00,0.00,0.00,0.00,VTK,,0.00,Faceted,None,None,EX,EX,Faint,,,,,,,,7.90,4.86,2.92,,,Feather,25/07/2024 12:00:00 AM,0.00,,Y,,2700.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,A,,,,,,,,,,,https://www.gia.edu/report-check?reportno=2497832849,,HONG KONG,3200.00000,False,,1.626,,A
RV03A,RD,G,VS1,GIA,5234346130,,6.88000,28234.80000,-38.62000,HONG KONG,12.12-12.15x7.48,61.60,59.00,36.00,15.00,40.60,42.50,MED to THK,Medium,4.00,Faceted,None,None,EX,EX,None,,,,,,,EX,12.15,12.12,7.48,http://image.simgems.com/images/RV03A,Additional clouds are not shown. Pinpoints are not shown.,"Cloud, Crystal, Needle",24/07/2024 12:00:00 AM,50.00,RV03A,Y,None,46000.00000,80.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-2720,BC0,BT0,EC0,WC2,WT1,NO,M,,None,,,,,,,,,https://www.gia.edu/report-check?reportno=5234346130,A.A. Rachminov Diamonds (Asia) Ltd.,HONG KONG,62500.00000,False,,1.002,,M
SBPD24-13B,RAD,I,VS1,GIA,7503011271,,1.01000,2008.87830,-48.49030,HONG KONG,6.55x5.24x3.45,65.80,67.00,0.00,0.00,0.00,0.00,MED to THK,Medium,0.00,Polished,None,None,EX,VG,None,,,,,,,,6.55,5.24,3.45,,Additional clouds are not shown.,"Feather, Cloud, Pinpoint",29/07/2024 12:00:00 AM,0.00,,Y,,3900.00000,0.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=7503011271,SIM GEMS USA INC,USA,3700.00000,False,,1.250,,M
SBPD23-61A,RD,G,SI1,GIA,5503021621,,0.50000,956.34000,-52.18300,HONG KONG,5.17-5.13*3.07,59.70,58.00,32.50,13.00,40.80,43.00,STK,,3.50,Faceted,None,None,EX,EX,Faint,,,,,,,EX,5.17,5.13,3.07,,,"Twinning Wisp, Feather",31/07/2024 12:00:00 AM,45.00,,Y,,2000.00000,75.00,USA Landline: +1-212-837-2237 | USA Whatsapp: +1-914-912-0638,,,,,,,M,,,,,,,,,,,https://www.gia.edu/report-check?reportno=5503021621,ZEAL ZEST,HONG KONG,1900.00000,False,,1.008,,M
